Bin,Low,High,N,MAE,MSE,RMSE,R2,MAPE_%,sMAPE_%
(P0–P25],4000.001953125,18991.001953125,453964,1257.7775,2946112.5,1716.4243,0.8094972473556438,9.471176564693451,9.11107212305069
(P25–P50],18991.001953125,26419.998046875,454061,1910.4742,6517416.5,2552.923,-0.4001081252765144,8.430053293704987,8.245079964399338
(P50–P75],26419.998046875,37792.99609375,454070,2942.526,15185922.0,3896.9119,-0.41887492608944554,9.32169035077095,9.240534901618958
(P75–P90],37792.99609375,49400.0,272499,3438.0186,19657886.0,4433.7217,-0.8128169696323357,8.000723272562027,8.119195699691772
(P90–P95],49400.0,57294.99609375,90790,5267.2046,41353860.0,6430.697,-7.091546649181494,9.945832192897797,10.563182830810547
(P95–P100],57294.99609375,129535.015625,90801,5910.6177,62729900.0,7920.221,0.7039006984431757,8.70072916150093,9.341130405664444
