Percentile,Threshold,N,MAE,MSE,RMSE,R2,MAPE_%,sMAPE_%
25,18991.001953125,454186,1257.6973,2945526.0,1716.2534,0.8100211892418818,9.479918330907822,9.117913991212845
50,26419.998046875,908247,1584.041,4731224.0,2175.1377,0.8400027613324261,8.955058455467224,8.681556582450867
75,37792.99609375,1362317,2036.8337,8215852.5,2866.3308,0.8667861987112878,9.07725840806961,8.867869526147842
90,49400.0,1634816,2270.3896,10123065.0,3181.6765,0.9087923267844614,8.897816389799118,8.743076771497726
95,57294.99609375,1725606,2428.0625,11766220.0,3430.1924,0.9167316203587291,8.952953666448593,8.838837593793869
100,129535.015625,1816407,2602.1538,14313866.0,3783.367,0.938821516375562,8.940349519252777,8.863947540521622
